Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
3625,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 4:18:56 UTC,Every 1 hour,-23.766867°,28.378855°,(-),10 meters,1 km/h,3.69 Volt,28°C,(-),Y,"[1074,1302,15329]",N,0,Y,0,
3626,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 5:18:29 UTC,Every 1 hour,-23.767553°,28.379967°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[1022,-2483,15142]",N,0,Y,0,
3627,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 6:19:02 UTC,Every 1 hour,-23.763937°,28.378213°,(-),<10 meters,0 km/h,3.69 Volt,34°C,(-),Y,"[564,265,15309]",N,0,Y,1,
3628,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 7:19:02 UTC,Every 1 hour,-23.763408°,28.376632°,(-),10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[1528,2963,15083]",N,0,Y,0,
3629,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 8:19:40 UTC,Every 1 hour,-23.763442°,28.376540°,(-),10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[-437,-588,15265]",N,0,Y,0,
3630,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 9:19:38 UTC,Every 1 hour,-23.763460°,28.376383°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[1863,-2528,14995]",N,0,N,2,
3631,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 10:20:25 UTC,Every 1 hour,-23.763467°,28.376238°,(-),<10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[1271,-209,15293]",N,0,Y,0,
3632,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 11:20:10 UTC,Every 1 hour,-23.763660°,28.376105°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[2550,-242,14776]",N,0,Y,0,
3633,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 12:20:33 UTC,Every 1 hour,-23.758753°,28.377398°,(-),10 meters,1 km/h,3.69 Volt,42°C,(-),Y,"[3458,357,14968]",N,0,Y,0,
3634,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 13:21:20 UTC,Every 1 hour,-23.754433°,28.386692°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[1227,-5566,15735]",N,0,Y,1,
3635,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 14:21:32 UTC,Every 1 hour,-23.754387°,28.385422°,(-),<10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[892,-2348,15120]",N,0,Y,0,
