term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
burned_area_coef_scaled,0.000318541596756254,8.55075404509175e-05,0.000150949897065854,0.000486133296446654,positive,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00250303076616014,0.000839742422572559,-0.00414889567069277,-0.000857165861627507,negative,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.00085025285275943,0.000814586614182579,-0.00244681327884571,0.000746307573326848,non-significant,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000239529109377825,0.000350416411766808,-0.000447274437276876,0.000926332656032525,non-significant,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00104656004465271,0.000428966808060751,0.000205800550290533,0.00188731953901489,positive,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000397439625500613,0.000468070971000793,-0.00131484187087086,0.000519962619869632,non-significant,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000244543582415518,0.000245591942055666,-0.000725894943737871,0.000236807778906834,non-significant,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000202528124522466,0.000108534935118073,-1.01964393733498e-05,0.000415252688418281,non-significant,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.00031852813906978,8.55362150548358e-05,0.000150880238188429,0.000486176039951131,positive,12,50,3573,-409475.935069831,FALSE,habitat_diversity_100m_coef,2.91049939842511,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00239132746141197,0.000910064260141921,-0.00417502063490722,-0.000607634287916711,negative,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000955381810009943,0.000888279879058375,-0.00269637838115595,0.000785614761136067,non-significant,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000245915713383879,0.000377992093470389,-0.000494935176258981,0.000986766603026739,non-significant,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00111254379675828,0.000450663147456437,0.000229260258584195,0.00199582733493236,positive,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000346016567922833,0.000472298396318127,-0.00127170441466239,0.000579671278816721,non-significant,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000358969684447858,0.000266342748249212,-0.000880991878559732,0.000163052509664016,non-significant,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000180125712161239,0.000110402128711789,-3.62584839304221e-05,0.0003965099082529,non-significant,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.000279652163217747,8.88671727364793e-05,0.000105475705246348,0.000453828621189147,positive,10,150,1897,-409529.691356225,FALSE,habitat_diversity_100m_coef,2.91112826536188,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00239441093284078,0.000910495443499356,-0.00417894921018734,-0.00060987265549422,negative,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000950101257658345,0.000888658908270051,-0.00269184071240833,0.000791638197091638,non-significant,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000245737473264325,0.000378114713368386,-0.000495353746962398,0.000986828693491048,non-significant,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00110601708872809,0.000450476889584324,0.000223098609275192,0.00198893556818099,positive,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000354905581282486,0.000472384175908073,-0.00128076155292894,0.00057095039036397,non-significant,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.00035175749901983,0.000265787241413262,-0.000872690919740076,0.000169175921700415,non-significant,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000180146597240838,0.000110398533454605,-3.62305522762286e-05,0.000396523746757905,non-significant,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.000280069547381339,8.88627858218261e-05,0.000105901687604664,0.000454237407158015,positive,10,100,2158,-409530.262235217,FALSE,habitat_diversity_100m_coef,2.91112945609093,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00239766919571636,0.000921965888270922,-0.00420468913170185,-0.000590649259730874,negative,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000970725642123593,0.000901195399498184,-0.00273703616817322,0.000795584883926033,non-significant,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000242552493662184,0.000382772111737984,-0.000507667059630606,0.000992772046954974,non-significant,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00107779619057544,0.000450984799984393,0.000193882225031024,0.00196171015611985,positive,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000373152718495843,0.000469685030438309,-0.00129371846223253,0.000547413025240842,non-significant,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000354282634730506,0.000265854192777309,-0.000875347277712999,0.000166782008251988,non-significant,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000178842387229636,0.000110376095881572,-3.74907854523849e-05,0.000395175559911657,non-significant,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.000278552889859742,8.8881779146475e-05,0.000104347803850808,0.000452757975868676,positive,10,50,3904,-409534.134736679,FALSE,habitat_diversity_100m_coef,2.91114755930468,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00241231553272807,0.000988558351327424,-0.00434985429794611,-0.000474776767510026,negative,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000996713515240858,0.000970373663258136,-0.002898610946773,0.000905183916291287,non-significant,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000292177800608055,0.000412231076388283,-0.00051578026242116,0.00110013586363727,non-significant,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.000935223650347649,0.000465395198790146,2.30658221411035e-05,0.00184738147855419,positive,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000285300568179138,0.000472504901188532,-0.00121139315702732,0.000640792020669042,non-significant,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000491581783939306,0.000276543604965041,-0.00103359728982566,5.04337219470456e-05,non-significant,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000185612402576564,0.000114500406203619,-3.88042697977359e-05,0.000410029074950864,non-significant,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.000334916420102504,9.24751892054586e-05,0.000153668379796278,0.00051616446040873,positive,8,150,2521,-409657.82751299,FALSE,habitat_diversity_100m_coef,2.91264558320842,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00241230709269991,0.000989184761404641,-0.00435107359910885,-0.000473540586290971,negative,8,100,2783,-409657.844215303,FALSE,habitat_diversity_100m_coef,2.91264606815103,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000996993469715046,0.000971022666356508,-0.00290016292394585,0.000906175984515763,non-significant,8,100,2783,-409657.844215303,FALSE,habitat_diversity_100m_coef,2.91264606815103,Habitat Diversity Trend (100m),Mean Elephant Density
