term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
months_severe_drought_scaled,-0.218177849369251,0.0235971865030167,-0.264427485051638,-0.171928213686864,negative,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.060820761713545,0.0107559170635693,-0.0819019717788406,-0.0397395516482495,negative,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.0544619234385692,0.0461197264345417,-0.144854926227111,0.0359310793499724,non-significant,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.0619541397971687,0.0463610275584861,-0.15282008409807,0.0289118045037329,non-significant,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.188456908573925,0.0301474988242803,-0.247544920493478,-0.129368896654372,negative,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.287640090900853,0.0431308716893865,-0.372175046033869,-0.203105135767837,negative,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,-0.0102118348239423,0.0213613797211668,-0.0520793697375136,0.031655700089629,non-significant,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.146929404453453,0.0142978620283288,0.118906109822006,0.1749526990849,positive,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.0684757481920599,0.0238247224793651,-0.115171346193277,-0.0217801501908424,negative,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.627786436903868,0.510543371593116,-0.372860183964288,1.62843305777202,non-significant,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.0707145552607103,0.0763490328428454,-0.0789267993657324,0.220355909887153,non-significant,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0944598960586093,0.0300624619951106,0.0355385532615885,0.15338123885563,positive,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.123772890488059,0.0247544194747608,-0.172290661116787,-0.0752551198593308,negative,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0768272170120025,0.0108907114922585,-0.0981726193028455,-0.0554818147211595,negative,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.0607468822627067,0.0464762699596642,-0.151838697519409,0.0303449329939958,non-significant,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.241429745141598,0.0489372683290977,-0.337345028568402,-0.145514461714794,negative,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.125226342258022,0.0327179416582284,-0.189352329556433,-0.0611003549596119,negative,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.174263019895741,0.0327467327435473,-0.238445436684453,-0.11008060310703,negative,14,150,1287,193791.295479295,TRUE,tree_cover_1000m_coef,-1.26764051798354,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
