term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,enerscape_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,enerscape_range,slope_range
distance_to_settlement_km,0.627874297639745,0.123778371403288,5.07256874138408,3.92481285945691e-07,ele25,F,19549,214939,0.385268689689301,0.870479905590189,2731.19057962671,5.09119728014366,32.6089262428121,0.117173671197534,128.098440229166,0.578772727276022,1630.67553710938,16.0849361419678,45.3000233173371,0.546608239412308,95.0272903442386,5.85937505669426
human_modification,-0.0376688713263968,0.0170429192798568,-2.21023585853147,0.0270887975334017,ele25,F,19549,214939,-0.0710729931149162,-0.00426474953787746,2731.19057962671,5.09119728014366,32.6089262428121,0.117173671197534,128.098440229166,0.578772727276022,1630.67553710938,16.0849361419678,45.3000233173371,0.546608239412308,95.0272903442386,5.85937505669426
enerscape,-0.0187009828739315,0.00760445924514712,-2.459212715995,0.0139242088807294,ele25,F,19549,214939,-0.0336057229944199,-0.00379624275344315,2731.19057962671,5.09119728014366,32.6089262428121,0.117173671197534,128.098440229166,0.578772727276022,1630.67553710938,16.0849361419678,45.3000233173371,0.546608239412308,95.0272903442386,5.85937505669426
slope,-0.0162892524704261,0.0100076490344647,-1.62768022882584,0.103592707496882,ele25,F,19549,214939,-0.0359042445779768,0.00332573963712461,2731.19057962671,5.09119728014366,32.6089262428121,0.117173671197534,128.098440229166,0.578772727276022,1630.67553710938,16.0849361419678,45.3000233173371,0.546608239412308,95.0272903442386,5.85937505669426
evi_mean,-0.240566464683595,0.0179735771826586,-13.3844510883287,7.45460562197505e-41,ele32,F,14094,154974,-0.275794675961606,-0.205338253405584,2868.37278781882,5.32308830755207,32.8208712500615,0.177704427307758,128.044268466298,0.611332170071909,1556.86535644531,18.0200481414795,36.6130867004394,0.546608239412308,97.7884597778319,5.54858498997055
distance_to_water_km,-0.288105749651271,0.0584504951413449,-4.92905575828869,8.26279921006501e-07,ele32,F,14094,154974,-0.402668720128307,-0.173542779174235,2868.37278781882,5.32308830755207,32.8208712500615,0.177704427307758,128.044268466298,0.611332170071909,1556.86535644531,18.0200481414795,36.6130867004394,0.546608239412308,97.7884597778319,5.54858498997055
distance_to_settlement_km,-0.323327101877877,0.107821260434316,-2.99873235181523,0.00271105350157667,ele32,F,14094,154974,-0.534656772329135,-0.111997431426618,2868.37278781882,5.32308830755207,32.8208712500615,0.177704427307758,128.044268466298,0.611332170071909,1556.86535644531,18.0200481414795,36.6130867004394,0.546608239412308,97.7884597778319,5.54858498997055
human_modification,-0.0357682777883006,0.016358568088679,-2.18651642334479,0.028777844469868,ele32,F,14094,154974,-0.0678310712421114,-0.00370548433448981,2868.37278781882,5.32308830755207,32.8208712500615,0.177704427307758,128.044268466298,0.611332170071909,1556.86535644531,18.0200481414795,36.6130867004394,0.546608239412308,97.7884597778319,5.54858498997055
enerscape,-0.035106381043082,0.00894978292147558,-3.92259581613338,8.76000381162807e-05,ele32,F,14094,154974,-0.0526479555691742,-0.0175648065169899,2868.37278781882,5.32308830755207,32.8208712500615,0.177704427307758,128.044268466298,0.611332170071909,1556.86535644531,18.0200481414795,36.6130867004394,0.546608239412308,97.7884597778319,5.54858498997055
slope,-0.00189105760337327,0.011215247439499,-0.168614880195433,0.866099575451223,ele32,F,14094,154974,-0.0238729425847914,0.0200908273780448,2868.37278781882,5.32308830755207,32.8208712500615,0.177704427307758,128.044268466298,0.611332170071909,1556.86535644531,18.0200481414795,36.6130867004394,0.546608239412308,97.7884597778319,5.54858498997055
